"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2017","MARKETING YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.25",""
"SURVEY","2017","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.91",""
"SURVEY","2017","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.82",""
"SURVEY","2017","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.6",""
"SURVEY","2017","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.9",""
"SURVEY","2017","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.75",""
"SURVEY","2017","MARKETING YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.9",""
"SURVEY","2017","MARKETING YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.33",""
"SURVEY","2017","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.34",""
"SURVEY","2017","MARKETING YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.31",""
"SURVEY","2017","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.99",""
"SURVEY","2017","MARKETING YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.1",""
"SURVEY","2017","MARKETING YEAR","","STATE","UTAH","49","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.08",""
"SURVEY","2017","MARKETING YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.6",""
"SURVEY","2017","MARKETING YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.09",""
"SURVEY","2017","MARKETING YEAR","","STATE","WYOMING","56","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.7",""
"SURVEY","2016","MARKETING YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.25",""
"SURVEY","2016","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.06",""
"SURVEY","2016","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.3",""
"SURVEY","2016","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.31",""
"SURVEY","2016","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.64",""
"SURVEY","2016","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.19",""
"SURVEY","2016","MARKETING YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.69",""
"SURVEY","2016","MARKETING YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.18",""
"SURVEY","2016","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.12",""
"SURVEY","2016","MARKETING YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.47",""
"SURVEY","2016","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.66",""
"SURVEY","2016","MARKETING YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.85",""
"SURVEY","2016","MARKETING YEAR","","STATE","UTAH","49","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.36",""
"SURVEY","2016","MARKETING YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.8",""
"SURVEY","2016","MARKETING YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.89",""
"SURVEY","2016","MARKETING YEAR","","STATE","WYOMING","56","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.54",""
"SURVEY","2015","MARKETING YEAR","","STATE","ALASKA","02","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.45",""
"SURVEY","2015","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.15",""
"SURVEY","2015","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.85",""
"SURVEY","2015","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.2",""
"SURVEY","2015","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.8",""
"SURVEY","2015","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.86",""
"SURVEY","2015","MARKETING YEAR","","STATE","KANSAS","20","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.55",""
"SURVEY","2015","MARKETING YEAR","","STATE","MAINE","23","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.9",""
"SURVEY","2015","MARKETING YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.75",""
