"","State","Year","finalweight"
"1","DELAWARE",1990,1.89
"2","DELAWARE",1991,1.55
"3","DELAWARE",1992,1.8
"4","DELAWARE",1993,1.6
"5","DELAWARE",1994,1.7
"6","DELAWARE",1995,1.7
"7","DELAWARE",1996,2.98
"8","DELAWARE",1997,1.95
"9","DELAWARE",1998,1.27
"10","DELAWARE",1999,1.35
"11","DELAWARE",2000,1.3
"12","DELAWARE",2001,1.25
"13","DELAWARE",2002,1.35
"14","DELAWARE",2003,1.6
"15","DELAWARE",2004,1.78
"16","DELAWARE",2005,1.33
"17","DELAWARE",2006,1.54
"18","DELAWARE",2007,2.49
"19","DELAWARE",2008,4.18
"20","IDAHO",1990,2.62
"21","IDAHO",1991,2.77
"22","IDAHO",1992,2.81
"23","IDAHO",1993,2.64
"24","IDAHO",1994,2.42
"25","IDAHO",1995,3.05
"26","IDAHO",1996,3.14
"27","IDAHO",1997,2.82
"28","IDAHO",1998,2.4
"29","IDAHO",1999,2.6
"30","IDAHO",2000,2.59
"31","IDAHO",2001,2.75
"32","IDAHO",2002,3.04
"33","IDAHO",2003,3.15
"34","IDAHO",2004,3.02
"35","IDAHO",2005,3.01
"36","IDAHO",2006,3.12
"37","IDAHO",2007,4.02
"38","IDAHO",2008,5.86
"39","IDAHO",2009,5.17
"40","IDAHO",2010,4.12
"41","IDAHO",2011,5.63
"42","IDAHO",2012,6.53
"43","IDAHO",2013,6.42
"44","IDAHO",2014,5.11
"45","IDAHO",2015,5.86
"46","IDAHO",2016,5.19
"47","IDAHO",2017,4.75
"48","KANSAS",1990,1.69
"49","KANSAS",1991,1.86
"50","KANSAS",1992,1.53
"51","KANSAS",1993,1.57
"52","KANSAS",1994,1.99
"53","KANSAS",1995,2.11
"54","KANSAS",1996,3.15
"55","KANSAS",1997,2.69
"56","KANSAS",1998,2.1
"57","KANSAS",1999,1.6
"58","KANSAS",2000,1.65
"59","KANSAS",2001,1.7
"60","KANSAS",2002,1.85
"61","KANSAS",2003,2.15
"62","KANSAS",2004,1.87
"63","KANSAS",2005,1.97
"64","KANSAS",2006,2.3
"65","KANSAS",2007,3.65
"66","KANSAS",2008,4.2
"67","KENTUCKY",1990,2.19
"68","KENTUCKY",1991,1.47
"69","KENTUCKY",1992,1.85
"70","KENTUCKY",1993,1.64
"71","KENTUCKY",1994,1.88
"72","KENTUCKY",1995,2.01
"73","KENTUCKY",1996,2.81
"74","KENTUCKY",1997,2.06
"75","KENTUCKY",1998,1.31
"76","KENTUCKY",1999,1.32
"77","KENTUCKY",2000,1.44
"78","KENTUCKY",2001,1.43
"79","KENTUCKY",2002,1.51
"80","KENTUCKY",2003,1.8
"81","KENTUCKY",2004,2.02
"82","KENTUCKY",2005,1.94
"83","KENTUCKY",2006,2
"84","KENTUCKY",2007,2.85
"85","KENTUCKY",2008,3.9
"86","MARYLAND",1990,1.97
"87","MARYLAND",1991,1.6
"88","MARYLAND",1992,1.85
"89","MARYLAND",1993,1.7
"90","MARYLAND",1994,1.8
"91","MARYLAND",1995,1.8
"92","MARYLAND",1996,3.12
"93","MARYLAND",1997,2.05
"94","MARYLAND",1998,1.3
"95","MARYLAND",1999,1.35
"96","MARYLAND",2000,1.4
"97","MARYLAND",2001,1.3
"98","MARYLAND",2002,1.4
"99","MARYLAND",2003,1.8
"100","MARYLAND",2004,1.92
"101","MARYLAND",2005,1.46
"102","MARYLAND",2006,1.54
"103","MARYLAND",2007,2.7
"104","MARYLAND",2008,3.99
"105","MARYLAND",2009,2.38
"106","MARYLAND",2010,2.34
"107","MARYLAND",2011,4.15
"108","MARYLAND",2012,4.59
"109","MARYLAND",2013,4.13
"110","MARYLAND",2014,3.6
"111","MARYLAND",2015,2.75
"112","MICHIGAN",1990,1.68
"113","MICHIGAN",1991,1.6
"114","MICHIGAN",1992,2.15
"115","MICHIGAN",1993,1.9
"116","MICHIGAN",1994,1.75
"117","MICHIGAN",1995,2.65
"118","MICHIGAN",1996,2.4
"119","MICHIGAN",1997,1.9
"120","MICHIGAN",1998,1.5
"121","MICHIGAN",1999,1.7
"122","MICHIGAN",2000,1.1
"123","MICHIGAN",2001,1.5
"124","MICHIGAN",2002,1.6
"125","MICHIGAN",2003,1.7
"126","MICHIGAN",2004,1.8
"127","MICHIGAN",2005,1.8
"128","MICHIGAN",2006,1.8
"129","MICHIGAN",2007,2.5
"130","MICHIGAN",2008,3.25
"131","MINNESOTA",1990,1.87
"132","MINNESOTA",1991,1.79
"133","MINNESOTA",1992,1.82
"134","MINNESOTA",1993,1.76
"135","MINNESOTA",1994,1.81
"136","MINNESOTA",1995,2.55
"137","MINNESOTA",1996,2.38
"138","MINNESOTA",1997,1.88
